"","X","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","festival","count"
"1",2,"Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）",4.6,380,"100-1000",59.97,"Delivery","Valentine's Day",100
"2",3,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom",4.4,480,"100-1000",69.99,"Delivery","Valentine's Day",500
"3",4,"JOYIN 28 Packs Valentine's Day Gift Cards with Mini Bears Plush Toy Party Favors, Mini Stuffed Animal Plush Toys Plush Toy for Valentines Day Gifts, Kids Classroom School Exchange Prize (Brown Bear)",4.6,700,"100-1000",32.99,"Delivery","Valentine's Day",700
"4",5,"Valentines Day Gifts for Her, Him, Wife, Husband, Couple, I Love You Romantic Gifts for Boyfriend Girlfriend, Anniversary Perfect Gifts for Women Men, Handmade Crochet Pickle",4.8,39,"100-1000",9.99,"Delivery","Valentine's Day",700
"5",6,"Valentines Day Gifts for Her Him - Hand Massager with Compression & Heating,Birthday Gifts for Women Men Mom Dad,Gifts for Women Men Mom Dad Her Him Boyfrend Girlfriend(White)",4.1,3880,"Over 1000",29.98,"Delivery","Valentine's Day",5000
"6",7,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Her Wife Girlfriend Mom Women",4.5,1905,"100-1000",69.99,NA,"Valentine's Day",300
"7",8,"Preserved Red Real Rose Valentines Day Gifts for Her Present,Romantic Valentines Day Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique （Ring&White）",4.6,380,"100-1000",59.97,NA,"Valentine's Day",100
"8",9,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklaces, Anniversary Birthday Gifts for Women, Jewelry Gifts for Wife Girlfriend Mom Daughter Her",4.6,641,"Less than 100",59.99,NA,"Valentine's Day",50
"9",10,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend Mom",4.4,480,"100-1000",69.99,NA,"Valentine's Day",500
"10",12,"Valentines Day Gifts for Her, Fuzzy Socks for Women, Galentines Day Gifts, Christmas Stocking Stuffers Gifts for Women",4.7,36,"Over 1000",11.59,"Delivery","Valentine's Day",2000
"11",13,"Simple Modern Valentines Day 40 oz Tumbler with Handle and Straw Lid | Gift Insulated Reusable Stainless Steel Water Bottle Travel Mug Cupholder Use | Gifts for Women | Trek Collection | Red Hearts",4.8,35032,"Less than 100",29.99,"$9.59 delivery","Valentine's Day",NA
"12",14,"Valentines Day Gifts for Her Him, 40 Scratch Off Date Ideas Gifts for Boyfriend Girlfriend, Anniversary Birthday Engagement Couple Gifts Christmas Stocking Stuffers for Adults Men Women Husband Wife",4.8,10,"Over 1000",9.99,"Delivery","Valentine's Day",2000
"13",15,"Emotional Support V-Day Nugget Cards by Relatable, Valentine's Plush, Perfect Valentines Cards for Kids Classroom or Gift for Work Friends, Includes 10 Plushies with 10 Cards and a Carrying Case",4.8,3482,"Over 1000",14.99,"$7.86 delivery","Valentine's Day",2000
"14",17,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Initial Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Her Wife Girlfriend Mom Women",4.5,1905,"100-1000",69.99,"Delivery","Valentine's Day",300
"15",18,"Iefil Valentines Day Gifts for Her Wife - 925 Sterling Silver Double Birthstone Necklace, Anniversary Birthday Gifts for Women, Personalized Gifts, Jewelry Gifts for Mom Wife Girlfriend",4.7,26,"Less than 100",139.99,"Delivery","Valentine's Day",NA
"16",19,"JOYIN 24 Packs Valentine's Day Heart Cards with Plush Toy Party Favors, Mini Stuffed Animal Plush Toys Plush Toy for Valentines Day Gifts, Kids Classroom School Exchange Prize (brown bear)",4.5,144,"100-1000",29.99,"Delivery","Valentine's Day",300
"17",20,"Valentines Day Gifts for Her Him Kids Girlfriend Boyfriend Wife Mom Fiancée, Valentines Gifts for Women, Valentine's Day Teddy Bear - 10 Inches, Funny Cute Stuffed Animal Plush Present for Birthday",4.6,419,"100-1000",18.99,"Delivery","Valentine's Day",800
"18",21,"grace & stella Under Eye Patches - Valentines Day Gifts for Her (12 Pairs) Birthday Gifts for Women - Eye Patches for Puffy Eyes and Dark Circles - Vegan Eye Mask, Bachelorette Party Favors, Self Care",4.3,29197,"Over 10000",17.95,"Delivery","Valentine's Day",10000
"19",22,"LEGO Botanicals Bouquet of Roses Artificial Flowers - Fake Red Roses Building Sets for Adults, Ages 18+ - Gift for Valentines Day for Her and Him - DIY Kits for Home Decorations - 10328",4.9,3172,"Over 10000",59.87,"Delivery","Valentine's Day",10000
"20",23,"Lovely Taco Valentines Day Card for Him Her, Naughty Valentine's Day Gift for Husband Wife, Romantic Boyfriend Girlfriend Vday Card, To The Only Meat for My Taco",4.9,160,"Over 1000",5.99,"Delivery","Valentine's Day",1000
"21",24,"Preserved Red Real Rose-Eternal Flowers Rose Gifts for Women Her Mom Wife Girlfriend on Valentines Mothers Day with I Love You Necklace 100 Languages Engraved Acrylic Block Puzzle Piece",5,7,"Less than 100",49.98,"Delivery","Valentine's Day",NA
"22",25,"Gifts for Husband Valentines Day for Him Boyfriend, Funny Husband’s Ice Cream Shovel for Men Husband Dad Birthday, Father’s Day, Wedding Anniversary Presents To My Husband",4.6,137,"100-1000",7.99,"Delivery","Valentine's Day",500
"23",26,"Valentines Day Gifts for Her,12oz Novelty Coffee Mug Gifts for Girlfriend Besties Sisters Wife Best Friends,Thank You Gifts for Women Mom Grandma,Birthday Gifts for Women,Mothers Day Gifts for Mom",5,3,"Less than 100",7.98,"Delivery","Valentine's Day",NA
"24",27,"Valentines Day Flowers Roses Gifts for Women,Forever Preserved Roses in Glass Dome, Anniversary Thanksging Birthday Valentines Day Real Roses Gifts for Her Wife Mom Girlfrien/Purple",4.6,257,"100-1000",59.99,"Delivery","Valentine's Day",400
"25",28,"LEGO Valentine Lovebirds Building Toy Set - Fun and Engaging Build for Kids, Girls & Boys, Ages 8+ - Valentines Day Decoration and Gift - 40522",4.8,4352,"Over 1000",42.99,"$7.89 delivery","Valentine's Day",1000
"26",29,"Valentines Day Gifts for Him Her, Date Night Dice Couples Gift for Him Her, Dinner Decider Dice, Anniversary Birthday Valentines Day for Husband Wife Boyfriend Girlfriend Women Men",5,17,"Less than 100",6.79,"Delivery","Valentine's Day",NA
"27",30,"Tmacker Valentines Day Gifts for Her Wife Mom Girlfriend,Birthday Gifts for Women,Gifts for Mom Grandma Her Wife,Mothers Day Mom Gifts, Artificial Rose Flower w/Vase Anniversary Wedding Gifts",4.4,2502,"Over 1000",9.99,"Delivery","Valentine's Day",1000
"28",31,"Valentines Day Gifts for Her- Hand Made Rose Kitty Valentine Day Gifts for Kids - Artificial Teddy Bear Gift for Women, Mothers Day, Wedding and Anniversary, Birthday Present",5,9,"100-1000",23.99,"Delivery","Valentine's Day",800
"29",33,"Avidlove Lingerie for Women Lace Babydoll Sleepwear Boudoir Outfits Plus Size Langeray XS-5XL",4.5,45000,"100-1000",21.99,"Delivery","Valentine's Day",100
"30",34,"Valentines Day Gifts for Him Her Boyfriend Girlfriend Wife Husband Capsule DIY Letter Message in a Bottle, 100 PCS Love Letter Couples Gifts Mothers Day Anniversary Birthday Gifts for Women Mom Men",4.6,156,"Over 1000",9.99,"Delivery","Valentine's Day",1000
"31",35,"10 Pack Hand Cream for Dry Cracked Hands, Valentines Day Gifts for Her, Birthday Gifts for Women Girls,Teacher Appreciation Gifts, Natural Plant Fragrance Mini Hand Lotion Moisturizing Hand Care Cream",4.4,3712,"Over 10000",9.99,"Delivery","Valentine's Day",10000
"32",36,"Civaner Valentine Plush Stuffed Animal Bear Gift with Rose Valentine Funny Cute Stuffed Animal Plush Gift for Girlfriend Valentine's Day, 11.8 Inches(Beige)",3.8,237,"Over 1000",11.99,"Delivery","Valentine's Day",1000
"33",37,"Valentines Day Decor - Valentines Day Decorations - Valentines Day Gifts for Her, Teacher, Girls, Him - Wedding for Women - Valentines Day Couple Plush Gnomes Decorations for Home",4.7,723,"Over 1000",30.99,"Delivery","Valentine's Day",2000
"34",38,"Valentines Day Gem Gifts for Kids - 24 Pack Prefilled Valentine's Day Cards with Heart-shaped Gemstone for School Classroom Class Party Favor, Valentine Rock Crystal Gift Exchange for Boys Girls",4.3,17,"Over 1000",28.99,"Delivery","Valentine's Day",1000
"35",39,"24k Gold Rose Valentines Day Gifts for Her Women,Real Rose Dipped 24K Gold,Best Gifts for Valentines Day Christmas Birthday Anniversary for Women,Mom,Grandma(Red,Crystal Stand)",4.8,1359,"100-1000",51.99,"Delivery","Valentine's Day",300
"36",40,"Valentines Day Gifts for Her Him,Christmas,Anniversary, Wedding Perfect 40 Romantic Scratch Off Date Ideas Card Games Gifts, Fun & Adventurous Ideas for Newlywed, Boyfriend,Girlfriend Date Night",4.1,8,"Over 1000",9.99,"Delivery","Valentine's Day",1000
"37",41,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding,Valentines Day Gifts",4.7,1350,"Over 1000",25.99,"Delivery","Valentine's Day",5000
"38",42,"How to Catch a Loveosaurus: A Valentine's Day Adventure",4.7,647,"Less than 100",6.99,"$7.96 delivery","Valentine's Day",NA
"39",43,"Body Restore Shower Steamers Aromatherapy 6 Pack - Galentines, Valentines Day Gifts for Her and Him, Birthday Gifts for Mom, Best Friend, Travel Essentials, Stress Relief, Bath Bombs - Bloom",4.4,15113,"Over 10000",16.99,"Delivery","Valentine's Day",30000
"40",44,"40 Fun and Romantic Scratch Off Date Ideas for Him, Her, Girlfriend, Boyfriend, Wife, or Husband, Perfect for Datenight, Couples Gift for Valentine's Day, Anniversaries, Birthdays & More",4.5,2587,"Over 10000",16.99,"Delivery","Valentine's Day",30000
"41",45,"Happy Valentine's Day, Mouse! (If You Give...)",4.8,5774,"Less than 100",6.46,"$7.88 delivery","Valentine's Day",NA
"42",46,"Harvey The Heart Had Too Many Farts: A Rhyming Read Aloud Story Book For Kids And Adults About Farting and Friendship, A Valentine's Day Gift For Boys ... (Fart Dictionaries and Toot Along Stories)",4.8,3262,"Less than 100",11.99,"Delivery","Valentine's Day",NA
"43",47,"Valentines Day Gifts for kids: Would You Rathe?: Valentine's Day Edition: Over 200 Hilarious, Fun, and Cute Questions for Kids",4.1,4,"Less than 100",5.89,"Delivery","Valentine's Day",NA
"44",48,"Shower Steamers Aromatherapy - 18 Pack Shower Bombs Birthday Gifts for Women, Organic Essential Oils, Self Care Gifts for Women, Mom, Mens Valentines Day Gifts for Her Him",4.4,2974,"Over 10000",24.99,"Delivery","Valentine's Day",10000
"45",49,"Little Blue Truck's Valentine",4.9,11327,"Less than 100",9,"Delivery","Valentine's Day",NA
"46",50,"Llama Llama I Love You",4.8,11714,"Less than 100",4.89,"Delivery","Valentine's Day",NA
"47",51,"Candle Warmer Lamp with Timer Dimmer, Birthday Gifts for Mom Women Friends, Valentines Day Gifts for Her, House Warming Gift New Home Room Decor, Wax Melt Warmer with 2 Bulbs for Jar Candles",4.5,2923,"Over 1000",35.99,"Delivery","Valentine's Day",6000
"48",52,"Gifts for Women Wife-Tahitian-Black-Pearl-Necklace-Gift for Wife Wedding Birthday Anniversary Jewelry-Mom Girlfriend Her Mothers Day Gifts for Mom Women Valentines Day Christmas Day Gifts",4.6,199,"Over 1000",198.97,"Delivery","Valentine's Day",1000
"49",53,"Cleverfy Shower Steamers Aromatherapy - Variety Pack of 6 Shower Bombs with Essential Oils. Self Care Birthday Gifts for Women and Valentines Day Gifts for Her and Him. Purple Set",4.3,37279,"Over 10000",14.99,"Delivery","Valentine's Day",40000
"50",54,"24 Pack Valentines Day Gifts Cards with Heart Stress Balls Squishy Squeeze Toys Great for Adults Valentines Party Favors Valentine's Day Gifts",4.4,37,"Over 1000",15.99,"Delivery","Valentine's Day",2000
"51",55,"Valentines Day Gifts for Her Wife Girlfriend, Galentines Day Gifts,Christmas Birthday Gifts for Women Stocking Stuffers for Women,12 OZ Funny Coffee Mug,Mothers Day Mom Gifts for Mom from Daughter",4.8,398,"Over 1000",7.99,"Delivery","Valentine's Day",1000
"52",56,"Bee! Tender Tomato® Plushie, for Boyfriend, Girlfriend, Husband, Wife, Christmas, Birthday Gift for Mom, Dad, Kids | Valentines Day Gifts for Her or Him - Mini",4.8,40,"100-1000",2.99,"Delivery","Valentine's Day",700
"53",57,"24pcs Valentine's Day Gift Cards with Plush Bears Plush Toys Party Favors, Stuffed Animal Plush Toys Plush Toy for Kids Boys Girls Valentines Day Gifts Classroom School Exchange Prize",5,10,"Over 1000",19.99,"Delivery","Valentine's Day",1000
"54",58,"Valentines Day Gifts for Him Her, Gifts for Women Men, Anniversary Steel Food Decision Dice Couple Gifts Girlfriend Boyfriend Stocking Stuffers for Women Men Christmas Birthday Wedding Funny Gifts",4.7,211,"Over 1000",8.99,"Delivery","Valentine's Day",3000
"55",59,"30 Pack Valentines Day Gifts for Kids Classroom-Building Blocks,Valentines Day Cards with Animal Blocks for Boys Girls,Class Valentines Gifts Exchange, Party Favors.Valentines Goody Bag Filler",4.6,150,"Over 1000",28.99,"$8.65 delivery","Valentine's Day",2000
"56",60,"Gold Dipped Rose Real 24K Gold Rose, Genuine One of a Kind Rose Hand Dipped in 24K Golden Roses Romantic Gifts for Women in Her Birthday Anniversary Valentines Day Mothers Day",4.6,601,"100-1000",59.99,"Delivery","Valentine's Day",900
"57",61,"Gifts for Women, Mom, Wife, Girlfriend, Sister, Her - Happy Birthday, Christmas, Valentine's Day, Mothers Day Gifts - Lavender Spa Gift Basket Set",4.7,1497,"Over 1000",29.99,"Delivery","Valentine's Day",7000
"58",63,"Matching Couple Heart Keychain for Boyfriend Girlfriend Valentine's Day Gifts Stuff Him Friends Set Compatible with Lego Gift",4.7,880,"100-1000",6.98,"Delivery","Valentine's Day",500
"59",64,"Valentines Day Gifts for Him,Birthday Gifts for Men, Gifts for Him Boyfriend Husband Couple Fiance,Mens Gifts Ideas Romantic Bath Towels Funny Gifts for Anniversary Wedding Christmas Stocking Stuffers",4.8,21,"Less than 100",7.99,"Delivery","Valentine's Day",NA
"60",65,"Womens Gifts for Christmas, Valentines Day Gifts for Her Wife Girlfriend, for Mom from Daughter, Self Care Spa Gift Baskets for Women, Birthday Gifts for Women, Best Friend, Sister",4.8,1029,"Over 1000",19.99,"Delivery","Valentine's Day",1000
"61",66,"Infinity Heart Pendant Necklace for Women 925 Sterling Silver, Rose Gold Birthstone Necklace for Women, Anniversary Birthday Gifts for Her Wife Daughter Girlfriend Girls",4.4,73,"Less than 100",103.99,NA,"Valentine's Day",NA
"62",67,"CooCoCo Pink Heating Pad for Period Cramps, Valentines Day Gifts for Her, Cordless Waist Belt for Menstrual Cramp Relief, Fast Heat Pad with 4 Heat Levels 4 Vibration Levels",4.6,110,"Less than 100",23.99,NA,"Valentine's Day",NA
"63",68,"Valentines Day Gifts for Him, 40 Date Ideas Card Games for Couples Date Night - Unique Date Deck Scratch Off Cards, Great Couple Gifts for Boyfriend- Romantic Wedding for Him and Her",4.5,1388,"Over 1000",13.72,NA,"Valentine's Day",3000
"64",69,"Birthday Gifts for Women, Get Well Gifts for Women, Relaxing Spa Gifts Care Package with Luxury Flannel Blanket, Light-Up Rose Flower, Unique Self Care Gift Basket for Women, Mom, Wife, Friends",4.7,38,"100-1000",39.99,NA,"Valentine's Day",400
"65",71,"NOWWISH Heating Pad for Period Cramps Pain Relief, Portable Electric Cordless Menstrual Heating Pad Rechargeable with 6 Heat Levels and 6 Massage Modes, Valentines Day Gifts for Her Women Girls, Pink",4.3,62,"Less than 100",36.99,"Delivery","Valentine's Day",NA
"66",72,"Shower Steamers Aromatherapy BLRIET 8 Pack Gifts for Women Mom, Valentines Day Gifts for Her Stress Relief Home Spa, Birthday Gift Lavender Natural Essential Oil Self Care Relaxation Shower Bombs Teen",4.4,1833,"Over 10000",12.99,"Delivery","Valentine's Day",30000
"67",73,"NOWWISH Valentines Day Gifts for Him Her, Eye Massager with Heat - Smart Eye Mask for Relax Eye, Birthday Gifts for Women and Men - White",4.4,81,"Over 1000",59.99,"Delivery","Valentine's Day",3000
"68",74,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Rose Heart Birthstone Necklace Birthday Gifts for Women Anniversary Jewelry Gifts for Her Wife Mom Daughter",4.5,191,"Less than 100",139.99,"Delivery","Valentine's Day",NA
"69",75,"VELENTI® Valentines Day Gift Love Gift for Her, Him, Gifts for Her, Mom, Cute Anniversary Wedding Gifts, Romantic Gift for Girlfriend & Boyfriend, Wife, Gifts From Husband, Relationship Gifts Ideas, Decorative Pitchers",4.6,1526,"100-1000",7.87,"Delivery","Valentine's Day",900
"70",76,"Set of 24 Valentines Cards for Kids, Valentine's Day Gift with Keychain for Kids Party Favor, Classroom Exchange Prizes",5,6,"Less than 100",23.99,"Delivery","Valentine's Day",NA
"71",77,"Valentines Day Gifts for Kids - 24 Pack Erupting Volcano Science Kit with Valentine's Cards, STEM Projects Educational Toys for Boys Girls Toddler Classroom Exchange School Activities Party Favors",4.3,12,"Over 1000",37.09,"$9.59 delivery","Valentine's Day",1000
"72",78,"BRIGHTDECK 2 Pack Heart Neon Signs, LED Pink Heart Neon Lights Battery Operated or USB Powered Decoration Lamp, Neon Lights Heart Decor for Valentine's Day Gifts, Wedding, Party, Pink Room Decor",4.6,99,"Over 1000",19.99,"Delivery","Valentine's Day",1000
"73",79,"Valentines Day Gifts for Him-Massage Gun Birthday Gifts for Women/Men - Portable Super Quiet Electric Percussion Muscle Massager,Gifts for Her/Him",4.5,3323,"100-1000",38.99,"Delivery","Valentine's Day",300
"74",80,"HHUQ Slippers and Socks Gifts for Women,Christmas Birthday Valentine's Day Gift Baskets for Women Mom Wife Girlfriend Sister Her",4.5,85,"Over 1000",14.99,"Delivery","Valentine's Day",1000
"75",81,"28 Pack Hand Cream Set-Valentines Day Gifts for Her,Women Gifts for Birthday,Bridesmaid Gifts Teacher Appreciation Gifts Nurse Gifts,Bulk Birthday Gifts Travel Size Hand Lotion for Dry Cracked Hands",4.6,3455,"Over 1000",14.99,"Delivery","Valentine's Day",9000
"76",82,"Kitsch Ice Roller for Face & Eye Puffiness, Cold Skin Care for Facial Lymphatic Drainage, Dark Circles & Migraine Relief, Self Tool for Wrinkles, Valentines Day Gifts for Women Face Massager (Pink)",4.5,2276,"Over 1000",17.99,"$7.99 delivery","Valentine's Day",4000
"77",83,"Valentines Day Gifts for Her, Funny 12 OZ Coffee Mug Gifts for Girlfriend Wife from Boyfriend Husband Him, Cute Stuff for Women Her, Naughty Valentines Presents Gift Ideas",4.7,158,"100-1000",6.49,"Delivery","Valentine's Day",400
"78",85,"Shower Steamers Aromatherapy Birthday Gifts for Women - SWCANDY 8 Pcs Valentines Day Gifts for Her Mom Men Teen Adults Bath Bombs Self Care with Natural Essential Oils Relaxation Home SPA Mothers Day",4.3,4337,"Over 10000",9.99,"Delivery","Valentine's Day",20000
"79",86,"Valentines Day Gifts for Him Her,Gift for Women Men,Massage Oil for Massage Therapy,Lymphatic Drainage-Ginger Oil Sore Muscle Arnica Oil &Lavender Oil Relaxing Massage Oils for Date Night,Massage Ball",4.6,3567,"Over 1000",14.99,"Delivery","Valentine's Day",6000
"80",87,"Iefil Valentines Day Gifts for Her - 925 Sterling Silver Birthstone Necklace, Heart Necklaces for Women, Anniversary Birthday Gifts for Women, Jewelry Gifts for Women Wife Girlfriend",4.7,16,"Less than 100",129.99,"Delivery","Valentine's Day",NA
